Id,Data,Nick,Pasek,Autor,Tytuł,Gatunek,Ocena
50801421,2020-07-15 21:55:08,ranunculus,niebieski,Peter Heller,Gwiazdozbiór Psa,"Fantastyka, Postapo",7
50799873,2020-07-15 20:30:14,leuler,niebieski,Jason Schreier,"Krew, pot i piksele. Chwalebne i niepokojące opowieści o tym, jak robi się gry.",literatura faktu,6
50797785,2020-07-15 18:33:25,xandra,różowy,Martyna Raduchowska,Czarne Światła: Łzy Mai (tom I) i Spektrum (tom II),cyberpunk/sf/kryminał,8
50792029,2020-07-15 11:11:02,vivianka,różowy,Jeff Lindsay,Dekalog Dextera,kryminał,6
50791721,2020-07-15 10:44:18,vivianka,różowy,Magda Stachula,W pułapce,kryminał,6
50791493,2020-07-15 10:24:42,TeczkiUkladyAgentury,niebieski,Grzegorz Braun,A nie mówiłem? Koronawirus i III Wojna Światowa. Czy Polska przetrwa największy globalny kryzys od 100 lat?,publicystyka,
50786203,2020-07-14 23:05:19,konik_polanowy,niebieski,"Zbigniew Lew-Starowicz, Krystyna Romanowska",O rozkoszy,psychologia,5
50782305,2020-07-14 19:36:48,ranunculus,niebieski,Wiktor Noczkin,Lichwiarz,Fantasy,6
50766353,2020-07-13 21:09:44,wytrzzeszcz,niebieski,@Cedrik jak i wiele innych zacnych postaci,Mapa Cieni: Kraków,Reportaż/Horror,8
50765333,2020-07-13 20:19:25,panpikuss,niebieski,Joe Abercrombie,Nim zawisną,fantasy,8
50750069,2020-07-13 08:33:27,0twierac2,niebieski,Tomasz Jastrun,Opiłki i okruszki,literatura piękna,7
50709347,2020-07-12 12:11:54,konik_polanowy,niebieski,Michał Klimecki,Krym 1854 -1855,historia,7
50708155,2020-07-12 11:13:24,Katsukyun,niebieski,Kenzaburo Oe,"Zerwać pąki, zabić dzieci",literatura piękna,9
50695933,2020-07-11 21:02:14,Wypok2,,Szczepan Twardoch,Królestwo,fikcja historyczna,7
50688769,2020-07-11 16:18:17,konik_polanowy,niebieski,Marcin Karbowski,Podstawy Kryptografii,psychologia,7
50683749,2020-07-11 12:52:28,0twierac2,niebieski,Andrzej Stasiuk,Dukla,literatura piękna,8
50681505,2020-07-11 10:53:39,Katsukyun,niebieski,Yasunari Kawabata,Kraina śniegu,literatura piękna,8
50642371,2020-07-09 20:45:31,konik_polanowy,niebieski,Zbigniew Lew-Starowicz,Rozmówki małżeńskie,psychologia,6
50629367,2020-07-09 09:17:30,ostoja,niebieski,Piotr Stankiewicz,21 polskich grzechów głównych,publicystyka,7
50622441,2020-07-08 20:54:04,ostoja,niebieski,Wojciech Chmielarz,Wyrwa,kryminał,5
50612337,2020-07-08 14:53:47,pestis,niebieski,Dale Carnegie,Jak stać się doskonałym mówcą i rozmówcą,Psychologia / Motywacja / Poradnik,5
50591269,2020-07-07 15:02:21,Katsukyun,niebieski,Haruki Murakami,Wszystkie boże dzieci tańczą,literatura piękna,7
50565815,2020-07-06 18:17:35,TeczkiUkladyAgentury,niebieski,Steven Pinker,Zmierzch przemocy. Lepsza strona naszej natury.,nauki społeczne,
50559759,2020-07-06 11:48:23,Sandman,niebieski,Yuval Noah Harari,Sapiens. Od zwierząt do bogów,popularnonaukowa,10
50531803,2020-07-05 12:14:05,konik_polanowy,niebieski,Paweł Brudek,Afryka Wschodnia 1914 - 1918,historia,8
50529871,2020-07-05 09:49:57,Katsukyun,niebieski,Takashi Hiraide,"Kot, który spadł z nieba",literatura piękna,7
50519327,2020-07-04 19:34:00,SweetStud,niebieski,Sebastian Fitzek,Odprysk,"Thriller, kryminał",8
50513345,2020-07-04 15:16:34,Katsukyun,niebieski,Haruki Murakami,Po zmierzchu,literatura piękna,8
50502945,2020-07-03 23:47:26,Charlie_Baker,niebieski,Karl Marlantes,What it is like to go to war,"wojskowość, historia, psychologia",7
50501833,2020-07-03 22:52:11,Sandman,niebieski,"Hyeonseo Lee, David John",Dziewczyna o siedmiu imionach,literatura faktu,8
50484613,2020-07-03 09:09:44,Katsukyun,niebieski,Hitomi Kanehara,Języki i kolczyki,literatura piękna,5
50472883,2020-07-02 18:57:01,konik_polanowy,niebieski,"Zbigniew Lew-Starowicz, Krystyna Romanowska",O miłości,psychologia,6
50466651,2020-07-02 11:44:19,Katsukyun,niebieski,Deborah Feldman,Unorthodox. Jak porzuciłam świat ortodoksyjnych Żydów,"autobiografia, biografia, pamiętnik",7
50426043,2020-06-30 12:33:01,xandra,różowy,Brandon Sanderson,Wśród Gwiazd,"Fantastyka, SF",7
50425537,2020-06-30 11:59:20,maly1234,niebieski,Ransom Riggs,Osobliwy dom pani Peregrine,Fantastyka,7
50424761,2020-06-30 11:00:43,r__k,różowy,Tad Williams,Pieśń Łowcy,Fantastyka,5
50424363,2020-06-30 10:32:26,Policjant997,niebieski,"Sławomir Koper, Tymoteusz Pawłowski",Mity polskiego września 1939,,6
50424363,2020-06-30 10:32:26,Policjant997,niebieski,Andrzej Sapkowski,Sezon Burz,,8
50423915,2020-06-30 10:00:32,BrakPomysluNaNick,niebieski,Dennis Covington,Zbawienie na Sand Mountain. Nabożeństwa z wężami w południowych Appalachach,literatura faktu,7
50423915,2020-06-30 10:00:32,BrakPomysluNaNick,niebieski,Lawrence Wright,"Droga do wyzwolenia. Scjentologia, Hollywood i pułapki wiary",literatura faktu,8
50420619,2020-06-30 01:45:27,BrakPomysluNaNick,niebieski,Jaroslav Hašek,Losy dobrego żołnierza Szwejka czasu wojny światowej,powieść antywojenna,4
